,Instructions,Face,Scene
0,Scene,F,S
1,Scene,F,S
2,Scene,F,S
3,Scene,F,S
4,Scene,F,S
5,Scene,F,S
6,Scene,F,S
7,Scene,F,S
8,Scene,F,S
9,Scene,F,S
10,Scene,F,S
11,Scene,F,S
12,Scene,F,S
13,Scene,F,S
14,Scene,F,S
15,Scene,F,S
16,Scene,F,S
17,Scene,F,S
18,Scene,F,S
19,Scene,F,S
20,Scene,F,S
21,Scene,F,S
22,Scene,F,S
23,Scene,F,S
24,Scene,F,S
25,Scene,F,S
26,Scene,F,S
27,Scene,F,S
28,Scene,F,S
29,Scene,F,S
30,Scene,F,S
31,Scene,F,S
32,Scene,F,S
33,Scene,F,S
34,Scene,F,S
35,Scene,F,S
36,Scene,F,S
37,Scene,F,S
38,Scene,F,S
39,Scene,F,S
